ruc,nombre,provincia
0990171092001,GRAN COLOMBIANA DEL MAR GRANCOMAR SA,GUAYAS                                            
0990553963001,PROMARISCO SA,GUAYAS                                            
0990555575001,ECUACULTIVOS ECUATORIANA DE CULTIVOS SA,GUAYAS                                            
0991257721001,INDUSTRIAL PESQUERA SANTA PRISCILA S.A.,GUAYAS                                            
0990576459001,PRODUMAR SA,GUAYAS                                            
0790050487001,PESQUERA E INDUSTRIAL BRAVITO S.A,EL ORO                                            
0990666253001,EXPORTADORA LANGOSMAR SA,GUAYAS                                            
0990666407001,BIOSUPER S.A.S.,GUAYAS                                            
0990608504001,OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS OMARSA SA,GUAYAS                                            
0990621705001,CAMARONERA ESCALANTE SA,GUAYAS                                            
0791722101001,PESQUERA MARYCIELO CIA. LTDA,EL ORO                                            
0990900418001,AQUACULTURA PUROCONGO S.A,GUAYAS                                            
0991329331001,COFIMAR S.A.,GUAYAS                                            
0992721138001,LIMBOMAR S.A.,GUAYAS                                            
0992856653001,BELLITEC S.A.,GUAYAS                                            
0992839473001,LUKMAR S.A.,GUAYAS                                            
0993000019001,CAMARONERA SUPRACAMARON ECUADOR ECUASUPRA S.A.,GUAYAS                                            
0993036366001,GODPROEX PRODUCTORA Y EXPORTADORA S.A.,GUAYAS                                            
0993021156001,GREENTRAILCORP CIA.LTDA.,GUAYAS                                            
0993188425001,EXPORTADORA Y COMERCIALIZADORA CARECA EXPORCARECA S.A.,GUAYAS                                            
